
# RunManager log started at Sat Dec 11 21:31:20 2010
# NEATStrategy starting, identifier neat_101211_213120

# RunManager log started at Sat Dec 11 21:55:21 2010
# NEATStrategy starting, identifier neat_101211_215521
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__2, 137.601780512
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__3, 117.443603487
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__4, 64.5368112011
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__5, 42.8981351576
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__6, 26.9258240357
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__7, 28.0178514522
file__out/hyperneatTo20gens_101/neat_110115_211410_00000_002_filt__8, 187.427986171

# RunManager log started at Mon Jan 24 23:18:47 2011

# RunManager log started at Mon Jan 24 23:20:51 2011
file__out/hyperneatTo20gens_101/neat_110115_175446_00006_001_filt__0, 117.337121151

# RunManager log started at Mon Jan 24 23:33:10 2011
file__out/hyperneatTo20gens_101/neat_110115_175446_00006_001_filt__0, 76.5277727364
file__out/hyperneatTo20gens_101/neat_110115_175446_00006_001_filt__1, 271.073790692
file__out/hyperneatTo20gens_101/neat_110115_175446_00006_001_filt__2, 61.9051694126

# RunManager log started at Mon Jan 24 23:42:45 2011
file__out/hyperneatTo20gens_101/neat_110115_175446_00006_001_filt__0, 32.0039060116

# RunManager log started at Mon Jan 24 23:48:12 2011

# RunManager log started at Wed Feb 16 22:42:14 2011

# RunManager log started at Fri Apr 15 12:19:17 2011
396.80968645798634 2.4548921343192451 0.61496646299143165 0.63100595804704174 0.10610203082357025, 173.769962882

# RunManager log started at Fri Apr 15 12:22:05 2011
387.83127114343347 1.7072918362894889 0.34304763223931639 0.65138372387367893 0.18110687461880159, 296.082758701
386.23305633758116 2.3281463484956539 0.23777147555463829 0.5698416738815365 0.12556016389426367, 182.781290071

# RunManager log started at Fri Apr 15 12:42:53 2011
383.02320569258859 1.9130293915206584 0.35365483105745188 0.69408568179188945 0.3255327541082576, 264.07006646

# RunManager log started at Fri Apr 15 12:54:38 2011
389.77851446054234 1.9372339365389695 0.3567913894006835 0.8468917059337312 0.22837224742536405, 132.457540367
