# Diana: EXPLORE STARTED WITH VECTOR B
# RunManager log started at Mon Nov  1 14:02:10 2010
# RunManager.explore_dimensions, centered at [201.180602 1.820672 1.616585 -0.403862 0.751180]
# RunManager.explore_dimensions: dimension 0
0, 0, 0, 0.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 8.0622577483
0, 0, 1, 0.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 15.0
0, 1, 0, 50.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 14.0356688476
0, 1, 1, 50.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 7.0
0, 2, 0, 100.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 8.0622577483
0, 2, 1, 100.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 5.83095189485
0, 3, 0, 150.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 27.5862284483
0, 3, 1, 150.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 24.7588368063
0, 4, 0, 200.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 79.2464510246
0, 4, 1, 200.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 79.9061950039
0, 5, 0, 201.18060199999999 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 100.004999875
0, 5, 1, 201.18060199999999 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 92.8493403315
0, 6, 0, 250.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 56.0802995712
0, 6, 1, 250.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 30.083217913
0, 7, 0, 300.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 11.313708499
0, 7, 1, 300.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 21.0
0, 8, 0, 350.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 23.4093998214
0, 8, 1, 350.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 27.0185121722
0, 9, 0, 400.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 15.2315462117
0, 9, 1, 400.0 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 16.1554944214
# RunManager.explore_dimensions: dimension 1
1, 0, 0, 201.18060199999999 0.5 1.6165849999999999 -0.403862 0.75117999999999996, 12.6491106407
1, 0, 1, 201.18060199999999 0.5 1.6165849999999999 -0.403862 0.75117999999999996, 46.8401537145
1, 1, 0, 201.18060199999999 1.4375 1.6165849999999999 -0.403862 0.75117999999999996, 76.4852927039
1, 1, 1, 201.18060199999999 1.4375 1.6165849999999999 -0.403862 0.75117999999999996, 72.8628849278
1, 2, 0, 201.18060199999999 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 61.8465843843
1, 2, 1, 201.18060199999999 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 44.9110231458
1, 3, 0, 201.18060199999999 2.375 1.6165849999999999 -0.403862 0.75117999999999996, 45.0998891351
1, 3, 1, 201.18060199999999 2.375 1.6165849999999999 -0.403862 0.75117999999999996, 52.1536192416
1, 4, 0, 201.18060199999999 3.3125 1.6165849999999999 -0.403862 0.75117999999999996, 31.3209195267
1, 4, 1, 201.18060199999999 3.3125 1.6165849999999999 -0.403862 0.75117999999999996, 25.7099202644
1, 5, 0, 201.18060199999999 4.25 1.6165849999999999 -0.403862 0.75117999999999996, 16.0312195419
1, 5, 1, 201.18060199999999 4.25 1.6165849999999999 -0.403862 0.75117999999999996, 22.5610283454
1, 6, 0, 201.18060199999999 5.1875 1.6165849999999999 -0.403862 0.75117999999999996, 20.2237484162
1, 6, 1, 201.18060199999999 5.1875 1.6165849999999999 -0.403862 0.75117999999999996, 13.9283882772
1, 7, 0, 201.18060199999999 6.125 1.6165849999999999 -0.403862 0.75117999999999996, 9.21954445729
1, 7, 1, 201.18060199999999 6.125 1.6165849999999999 -0.403862 0.75117999999999996, 9.0
1, 8, 0, 201.18060199999999 7.0625 1.6165849999999999 -0.403862 0.75117999999999996, 8.0
1, 8, 1, 201.18060199999999 7.0625 1.6165849999999999 -0.403862 0.75117999999999996, 2.0
1, 9, 0, 201.18060199999999 8.0 1.6165849999999999 -0.403862 0.75117999999999996, 5.09901951359
1, 9, 1, 201.18060199999999 8.0 1.6165849999999999 -0.403862 0.75117999999999996, 2.0
# RunManager.explore_dimensions: dimension 2
2, 0, 0, 201.18060199999999 1.8206720000000001 -2.0 -0.403862 0.75117999999999996, 1.41421356237
2, 0, 1, 201.18060199999999 1.8206720000000001 -2.0 -0.403862 0.75117999999999996, 0.0
2, 1, 0, 201.18060199999999 1.8206720000000001 -1.5 -0.403862 0.75117999999999996, 0.0
2, 1, 1, 201.18060199999999 1.8206720000000001 -1.5 -0.403862 0.75117999999999996, 0.0
2, 2, 0, 201.18060199999999 1.8206720000000001 -1.0 -0.403862 0.75117999999999996, 1.0
2, 2, 1, 201.18060199999999 1.8206720000000001 -1.0 -0.403862 0.75117999999999996, 1.0
2, 3, 0, 201.18060199999999 1.8206720000000001 -0.5 -0.403862 0.75117999999999996, 18.3575597507
2, 3, 1, 201.18060199999999 1.8206720000000001 -0.5 -0.403862 0.75117999999999996, 18.4390889146
2, 4, 0, 201.18060199999999 1.8206720000000001 0.0 -0.403862 0.75117999999999996, 50.960769225
