# start 50 runs of uniform descent with starting with vector b
# Optimize started at Fri Oct 29 14:21:45 2010
201.18060199999999 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 59.9416382826
56.504559087977448 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 1.0
291.79645495405322 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 63.9765582069
291.79645495405322 1.8206720000000001 -0.49636065071519742 -0.403862 0.75117999999999996, 8.0
291.79645495405322 4.6896886420546906 1.6165849999999999 -0.403862 0.75117999999999996, 25.6124969497
291.79645495405322 4.5282890301227834 1.6165849999999999 -0.403862 0.75117999999999996, 52.4976189936
291.79645495405322 1.8206720000000001 1.6165849999999999 -0.86209870480451922 0.75117999999999996, 46.9574275275
291.79645495405322 1.8206720000000001 -0.0058455491918532054 -0.403862 0.75117999999999996, 34.1760149813
291.79645495405322 1.8206720000000001 1.1911558371074475 -0.403862 0.75117999999999996, 17.1172427686
319.76580038817548 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 26.0
291.79645495405322 1.8206720000000001 1.6165849999999999 -0.403862 0.044976252192100219, 14.3178210633
20.44371310285138 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 1.41421356237
291.79645495405322 1.8206720000000001 -1.003850657049647 -0.403862 0.75117999999999996, 10.6301458127
291.79645495405322 1.1383033423675726 1.6165849999999999 -0.403862 0.75117999999999996, 17.0880074906
131.98104452889368 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 4.0
190.23201193565754 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 33.4215499341
291.79645495405322 1.8206720000000001 1.6165849999999999 0.55629204296402257 0.75117999999999996, 35.0
291.79645495405322 7.6523516821980158 1.6165849999999999 -0.403862 0.75117999999999996, 23.3238075794
291.79645495405322 5.1999944895949071 1.6165849999999999 -0.403862 0.75117999999999996, 30.0
291.79645495405322 1.8206720000000001 1.6165849999999999 -0.403862 0.03050000110516593, 43.8634243989
291.79645495405322 1.8206720000000001 1.6165849999999999 0.73713980523642952 0.75117999999999996, 84.1189633793
291.79645495405322 1.8206720000000001 1.6165849999999999 -0.403862 0.63454259441656968, 66.7308024828
258.07824896541342 1.8206720000000001 1.6165849999999999 -0.403862 0.63454259441656968, 94.8683298051
258.07824896541342 1.8206720000000001 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 105.076162853
333.32978308849079 1.8206720000000001 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 67.8011799307
312.58521759947041 1.8206720000000001 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 75.1664818919
258.07824896541342 1.8206720000000001 1.6165849999999999 -0.57481678749309739 -0.20800361778708676, 24.1867732449
258.07824896541342 2.8455227892315151 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 112.680965562
258.07824896541342 2.8455227892315151 1.6165849999999999 -0.57481678749309739 0.22867930485147925, 91.1811384004
258.07824896541342 2.8455227892315151 -1.4056942680135149 -0.57481678749309739 0.63454259441656968, 1.0
258.07824896541342 1.4211801334225775 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 50.2493781056
258.07824896541342 2.8455227892315151 1.6165849999999999 -0.57481678749309739 0.94279843943383046, 25.0199920064
61.598148778644379 2.8455227892315151 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 1.0
258.07824896541342 2.8455227892315151 1.6165849999999999 -0.57481678749309739 -0.051697305220449685, 44.3846820423
258.07824896541342 2.8455227892315151 1.6165849999999999 -0.57481678749309739 0.9066186474475566, 40.6078810085
258.07824896541342 2.8455227892315151 1.6165849999999999 -0.78182158803629354 0.63454259441656968, 76.2954782408
258.07824896541342 5.4060139144664312 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 34.205262753
258.07824896541342 2.8455227892315151 1.6165849999999999 0.0024665717988907598 0.63454259441656968, 70.8307842679
258.07824896541342 2.8455227892315151 1.6165849999999999 -0.57481678749309739 0.22255956767063467, 83.7257427557
74.605315693497687 2.8455227892315151 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 3.16227766017
258.07824896541342 2.8455227892315151 1.6165849999999999 -0.57481678749309739 0.86793338278401322, 57.7754273026
326.56014623448311 2.8455227892315151 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 47.4236228055
258.07824896541342 2.8455227892315151 1.6165849999999999 -0.57481678749309739 -0.45012249442905072, 7.81024967591
340.27156159324522 2.8455227892315151 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 61.2698947282
258.07824896541342 7.4562521142852072 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 25.9422435421
24.995575258455549 2.8455227892315151 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 0.0
258.07824896541342 2.8455227892315151 0.68813570623396725 -0.57481678749309739 0.63454259441656968, 54.918120871
258.07824896541342 1.5609660827183331 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 76.4852927039
258.07824896541342 2.8455227892315151 -0.94078653247486388 -0.57481678749309739 0.63454259441656968, 2.2360679775
374.06390461210935 2.8455227892315151 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 58.3095189485
258.07824896541342 2.8455227892315151 1.6165849999999999 -0.57481678749309739 0.78220161677561961, 49.3659801888
258.07824896541342 7.8018067794035959 1.6165849999999999 -0.57481678749309739 0.63454259441656968, 17.4642491966
258.07824896541342 2.8455227892315151 1.6165849999999999 -0.57481678749309739 -0.93136508917951866, 6.0827625303
