# start 50 runs of gaussian with vector b
# Optimize started at Fri Oct 29 16:27:11 2010
201.18060199999999 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 39.0128184063
229.01434104190974 1.6105235259656254 1.4395068098061308 -0.34081715317617339 0.71925462722433009, 65.0076918526
202.25819527487533 2.0710167477330299 1.2404776685695138 -0.2822396766636277 0.82963843599360609, 37.0
225.70269602017106 1.2989957614067258 1.3576509365306306 -0.35667989052067278 0.63601180365626797, 56.5862174032
220.81477179429766 1.0791194628204728 1.6091268839256463 -0.46408622834313173 0.83967635676186358, 35.8468966579
215.50210051601508 1.4415409638164047 1.5770122865243326 -0.53834374998469015 0.58999041557351428, 59.0338885726
244.99122268247089 1.1165299794588179 1.1086082011799558 -0.34523500226977016 0.81714064708546963, 28.0178514522
262.09447495467663 1.4785470346269127 1.4366264900926538 -0.53911787316103155 0.76236045207823178, 60.415229868
253.72627311230866 1.2807553302716914 1.5772755775963665 -0.36584835450074593 0.6583990295815535, 77.6466354712
239.54600770157421 1.4403969454171144 1.1997224388556658 -0.48554546366320694 0.72411483474995531, 44.1021541424
274.87909592434193 1.929076864537884 1.2197274556307611 -0.38794946296856636 0.43868340139281614, 132.060592154
275.48371605939934 2.2100181637035781 1.45806090473164 -0.24840147823139766 0.58733747780687517, 66.4830805544
259.21083822454591 2.0163608240988347 1.0650508621591119 -0.50867118662774402 0.48386592965339253, 117.175082675
290.93295421477887 1.8603628587728414 1.0827188368792775 -0.45408045112876877 0.38215074369095375, 148.276768241
274.42882005916181 2.0063043598288557 1.2174360582728108 -0.49268711978311458 0.45312188602781656, 130.096118313
304.27739594383007 1.6533174656402281 1.6931940798820846 -0.41612896074238204 0.40843112631433598, 126.063476075
291.73683158178136 1.4416864991948557 0.90053924319479317 -0.51088448213184023 0.36522016256377066, 127.757582945
306.61100564273409 2.0709416756812766 1.0268245616992997 -0.3576008746691951 0.47986243440750642, 33.9705755029
282.08554060507146 2.3841208793518209 0.79844710489974968 -0.54227571728450219 0.28436738682250479, 36.7151195014
278.35965868981214 1.4452671767244956 1.0284504448051281 -0.49571339722465108 0.28295508370518996, 153.378616502
253.3725487709076 1.8062713593963384 1.0446551206533006 -0.54558339388072841 0.33365450596853552, 120.60265337
284.50792625072285 1.4330454582909427 1.2390265144145018 -0.5392464514410743 0.43673977881465731, 100.169855745
279.3195655167404 1.3937538328479135 0.94512564169160052 -0.47210252938221248 0.37349585329041446, 139.0
255.29150755399954 1.3029755443348181 0.83799646334127398 -0.44368960731833185 0.20916263683662278, 137.31715115
315.13027675749788 0.98983029220949292 1.1804196211369213 -0.59191125752136908 0.39070266084276661, 107.056060081
326.94920668888949 1.500321064446261 1.3243732810871758 -0.44069165688490097 0.26233755162786104, 146.731046476
306.2164146459919 1.4950858660059034 0.99046975706583618 -0.45029474252473578 0.3928846458881996, 119.86659251
289.41683947221946 1.5601923394694517 1.3423433264833746 -0.425573097132531 0.33799906024310017, 139.46325681
299.06258227743194 1.8170981598710227 0.92914294827424027 -0.59755114485259819 0.39959463771925302, 102.08329932
278.85576097244882 1.5464736980005593 1.1063345067621801 -0.53998765660672998 0.32422368078816871, 135.085158326
251.98700716027707 1.140765692863033 1.0063040741453579 -0.60575650543107751 0.3527997788927234, 122.983738762
293.91605923273858 0.51571984406012517 1.2107756304403106 -0.39272704110081974 0.17834757928781161, 42.4852915725
305.27242514660389 0.969170625012028 1.0945944787267328 -0.47448865001252849 0.3699588176854593, 19.7230829233
298.24329958023475 1.217330908231568 0.99393772441437156 -0.57824925510765957 0.13908595228104817, 28.4253408071
264.13184773784837 1.5693069395411903 1.0829923653603724 -0.41057082838953257 0.22885102631586302, 6.32455532034
264.07596775528907 1.8333458070259683 0.58225127336262261 -0.50347124300966029 0.20004064241190447, 115.108644332
265.12738797638099 1.6278873751654175 1.0256016883673256 -0.72026034877497924 0.26548914638354043, 141.650979524
281.71753715751379 1.7044687477607061 1.4535277424715798 -0.51331037342424723 0.45550677472915829, 108.157292866
265.26199189432697 1.3911157300035739 1.0947881841655598 -0.40999397910020474 0.25905243039694842, 154.505663327
295.59267283849402 1.2665646805199045 1.2116707480454778 -0.55707746850591289 0.20827006065519962, 162.200493217
302.90418365554683 1.6974984057790885 0.79701883288297015 -0.61294502349706315 0.31098365052839677, 150.7846146
274.88870031621082 1.7366408684610666 0.65902450980223781 -0.46137739809761907 0.31736466655628653, 128.875909308
292.37827556540117 1.702820011267423 0.91653652217986636 -0.330012805546334 0.29904390940480136, 131.605471011
258.12580132992821 1.398164949557545 0.95008037940161427 -0.391559446106025 0.30885657214085205, 137.003649586
289.1699846672613 1.4438361280620597 1.2965627206317787 -0.46210924435456519 0.24218840300105704, 141.354165131
312.67558592151227 1.3991486652521581 0.89991938906762459 -0.4850498050732398 0.27264818897379955, 161.941347407
315.2420360238425 1.3402023743079656 1.0156793801878023 -0.60307686974226615 0.27582161035491182, 144.201248261
326.3650121825022 1.7671296676020836 0.64666045162153907 -0.49668593162525748 0.42424561940242478, 101.192885125
279.0820157777531 1.1226879319195058 0.811245207942493 -0.54068561414398608 0.39886766158177972, 62.6817357769
294.64215348729374 1.4903425240926156 1.074579040600234 -0.63822602984877053 0.24781409719728928, 123.434192994
256.0888186997696 1.5800886480551877 1.097301845925476 -0.59807847936549741 0.3505401062213328, 122.024587686
280.7717185963283 1.6136568063183172 1.0523903380056789 -0.51806600865572439 0.13220124809095141, 123.794184031
285.80709178029559 1.3792263718601809 0.85260657910576543 -0.66052297673950577 0.3200465783345382, 120.702112658
